level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,rate 1mbit,X25519,falcon512,28.1865,28.52208771929825,2.762,2.7049841827768013,31.036,31.22605799648506,1,1,1,1,582,620,2811
1,delay 500ms,X25519,falcon512,505.54,505.6328235294117,501.735,501.8100625,1007.4,1007.4135625,1,1,1,1,20,620,2814
1,rate 1mbit,X25519,rsa:1024,8.931,9.150572661870504,2.0855,2.273850144092219,11.27,11.425168587896254,1,1,1,1,708,627,1016
1,delay 500ms,X25519,rsa:1024,501.438,501.48194117647057,501.249,501.6054375,1003.0785,1003.104625,1,1,1,1,20,627,1016
1,rate 1mbit,X25519,rsa:2048,12.8525,13.009779279279279,2.307,2.441126315789474,15.286,15.451915789473684,1,1,1,1,681,620,1405
1,delay 500ms,X25519,rsa:2048,502.013,501.98133333333334,501.004,501.2452352941176,1003.155,1003.2729411764707,1,1,1,1,20,620,1405
1,rate 1mbit,X25519,rsa:3072,18.5015,18.625542857142857,2.268,2.4533942766295707,20.809,21.076907790143085,1,1,1,1,643,620,1789
1,delay 500ms,X25519,rsa:3072,503.887,504.86221052631583,501.301,501.2816111111111,1005.279,1006.2452222222222,1,1,1,1,20,620,1789
1,rate 1mbit,X25519,rsa:4096,25.0305,25.17843367346939,2.544,2.549267461669506,27.579,27.72392163543441,1,1,1,1,600,620,2173
1,delay 500ms,X25519,rsa:4096,507.457,507.3995882352941,501.156,501.5053125,1008.9675,1008.9405625,1,1,1,1,20,620,2173
1,rate 1mbit,X25519,p256\_falcon512,31.159,31.42249001814882,3.1355,3.294229090909091,34.523,34.716516363636366,1,1,1,1,562,620,3033
1,delay 500ms,X25519,p256\_falcon512,505.7445,505.8449375,502.144,502.4146875,1007.9075,1008.259625,2,1,2,2,20,672,3083
2,rate 1mbit,X25519,MLDSA44,35.921,36.160805369127516,23.947,23.93308744394619,60.0,60.092766816143495,2,1,2,2,456,672,6821
2,delay 500ms,X25519,MLDSA44,501.239,501.6448888888889,501.086,501.43370588235297,1002.701,1003.1116470588236,3,1,3,3,20,724,6873
2,delay 500ms,X25519,p256\_mldsa44,501.1215,501.50083333333333,502.547,502.5120588235294,1003.722,1003.9555294117647,3,1,3,3,20,724,7079
2,rate 1mbit,X25519,p256\_mldsa44,35.979,36.16715102974828,26.186,26.22744266055046,62.185,62.397282110091744,2,1,2,2,446,672,7028
2,rate 1mbit,X25519,rsa3072\_mldsa44,36.1355,36.40595365853658,34.936,35.447889975550126,71.098,71.85664547677263,2,1,2,2,419,672,7987
2,delay 500ms,X25519,rsa3072\_mldsa44,501.611,501.6335,505.53,505.7780588235294,1007.112,1007.3566470588236,4,1,4,4,20,776,8091
3,rate 1mbit,X25519,MLDSA65,35.861,35.99891989664083,44.2695,44.339437823834196,80.0985,80.33825388601036,3,1,3,3,394,724,9291
3,delay 500ms,X25519,MLDSA65,501.25,501.3524117647059,501.8405,502.4853125,1003.487,1003.8394375,5,1,5,5,20,828,9395
3,rate 1mbit,X25519,p384\_mldsa65,36.057,36.324485333333335,47.5885,47.77494919786096,83.6585,84.10057486631017,3,1,3,3,383,724,9594
3,delay 500ms,X25519,p384\_mldsa65,501.368,501.6037058823529,506.219,506.191,1007.5625,1007.7268125,5,1,5,5,20,828,9699
5,delay 500ms,X25519,MLDSA87,500.9895,501.1238333333333,502.552,502.86976470588235,1003.904,1004.0114705882353,7,1,7,7,20,932,12775
5,rate 1mbit,X25519,MLDSA87,35.847,36.0132752293578,71.9175,71.8899263803681,107.776,107.90173926380368,4,1,4,4,334,776,12619
5,delay 500ms,X25519,falcon1024,510.0225,510.5018888888889,501.666,501.79135294117646,1012.297,1012.3887647058823,3,1,3,3,20,724,5041
5,rate 1mbit,X25519,falcon1024,44.474,44.694513742071884,8.669,8.571262711864406,53.1705,53.26851694915254,2,1,2,2,482,672,4994
5,delay 500ms,X25519,p521\_falcon1024,512.719,512.7653888888889,504.947,505.0575882352941,1017.819,1017.728,3,1,3,3,20,724,5464
5,rate 1mbit,X25519,p521\_falcon1024,47.436,47.566555304740405,13.559,13.57743438914027,61.066,61.14211085972851,2,1,2,2,451,672,5416
5,delay 500ms,X25519,p521\_mldsa87,501.186,501.4739230769231,1504.1785,1503.98125,2006.017,2005.40275,7,1,7,7,15,932,13186
5,rate 1mbit,X25519,p521\_mldsa87,36.0185,36.379996875,76.878,76.7041473354232,112.808,113.08854231974922,4,1,4,4,327,776,13030
