level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,rate 1mbit,X25519,falcon512,27.947,28.046692173913044,2.3325,2.424890243902439,30.0715,30.46983275261324,1,1,1,1,586,620,2815
1,delay 500ms,X25519,falcon512,505.185,505.4151764705883,501.7115,502.764125,1007.4035,1008.1184375,1,1,1,1,20,620,2810
1,rate 1mbit,X25519,rsa:1024,8.731,8.990239657631955,1.9605,2.1037271428571427,10.857,11.094724285714285,1,1,1,1,714,627,1016
1,delay 500ms,X25519,rsa:1024,501.208,502.1003888888889,501.731,502.173,1003.794,1004.3315294117648,1,1,1,1,20,627,1016
1,rate 1mbit,X25519,rsa:2048,12.329,12.594790490341753,2.075,2.2374761904761904,14.7585,14.832770833333335,1,1,1,1,686,620,1405
1,delay 500ms,X25519,rsa:2048,501.7495,502.0502222222222,500.87,501.65188235294113,1003.033,1003.723705882353,1,1,1,1,20,620,1405
1,rate 1mbit,X25519,rsa:3072,17.928,18.191417582417582,2.07,2.258053459119497,20.399,20.448704402515723,1,1,1,1,650,620,1789
1,delay 500ms,X25519,rsa:3072,503.212,503.3858333333333,501.152,501.61064705882353,1004.209,1004.9786470588236,1,1,1,1,20,620,1789
1,rate 1mbit,X25519,rsa:4096,24.195,24.45047731092437,2.055,2.215829966329966,26.4735,26.665804713804715,1,1,1,1,608,620,2173
1,delay 500ms,X25519,rsa:4096,506.569,507.2189411764706,501.315,502.521125,1007.553,1009.790125,1,1,1,1,20,620,2173
1,rate 1mbit,X25519,p256\_falcon512,30.088,30.549570409982174,2.876,2.902326785714286,33.051,33.452525,1,1,1,1,573,620,3030
1,delay 500ms,X25519,p256\_falcon512,505.365,507.6285882352941,502.2275,504.37275,1007.4025,1012.1230625,2,1,2,2,20,672,3083
2,rate 1mbit,X25519,MLDSA44,36.0775,36.75492986425339,23.69,23.74873015873016,59.977,60.507328798185945,2,1,2,2,452,672,6821
2,delay 500ms,X25519,MLDSA44,500.9535,501.2766111111111,501.623,501.67188235294117,1002.977,1002.9704117647059,3,1,3,3,20,724,6873
2,delay 500ms,X25519,p256\_mldsa44,501.6035,501.52855555555556,503.186,507.3025294117647,1004.519,1008.8218235294117,3,1,3,3,20,724,7080
2,rate 1mbit,X25519,p256\_mldsa44,35.8175,36.0533623853211,26.296,26.337154022988507,61.998,62.38870574712644,2,1,2,2,446,672,7027
2,rate 1mbit,X25519,rsa3072\_mldsa44,35.817,36.17780575539568,33.934,34.12348076923077,70.1665,70.30053846153847,2,1,2,2,426,672,7987
2,delay 500ms,X25519,rsa3072\_mldsa44,501.622,504.6914444444444,504.479,504.5450588235294,1006.368,1009.4666470588236,4,1,4,4,20,776,8091
3,rate 1mbit,X25519,MLDSA65,35.839,36.147519379844965,44.048,43.893875647668395,79.83,80.0423756476684,3,1,3,3,394,724,9291
3,delay 500ms,X25519,MLDSA65,502.842,504.719,501.956,502.5664375,1005.3575,1007.40275,5,1,5,5,20,828,9395
3,rate 1mbit,X25519,p384\_mldsa65,35.834,36.193569920844325,47.05,46.98246560846561,83.048,83.17553703703703,3,1,3,3,388,724,9594
3,delay 500ms,X25519,p384\_mldsa65,501.676,501.764,504.583,504.2186875,1006.282,1006.0066875,5,1,5,5,20,828,9698
5,delay 500ms,X25519,MLDSA87,502.0725,503.3726666666667,502.781,503.692,1004.901,1007.1593529411764,7,1,7,7,20,932,12775
5,rate 1mbit,X25519,MLDSA87,35.8055,36.11660303030303,71.913,71.73255623100304,107.561,107.85153799392097,4,1,4,4,336,776,12619
5,delay 500ms,X25519,falcon1024,509.43,511.4620555555556,501.814,503.1214117647059,1012.237,1014.6587647058823,3,1,3,3,20,724,5044
5,rate 1mbit,X25519,falcon1024,43.827,44.18050314465409,8.3845,8.28696218487395,52.455,52.466779411764705,2,1,2,2,486,672,4988
5,delay 500ms,X25519,p521\_falcon1024,511.248,511.95105555555557,504.532,504.68488235294114,1016.046,1016.6904705882353,3,1,3,3,20,724,5473
5,rate 1mbit,X25519,p521\_falcon1024,45.6495,45.916421875,13.252,13.22168456375839,58.925,59.1407874720358,2,1,2,2,458,672,5411
5,delay 500ms,X25519,p521\_mldsa87,501.23,502.86446153846157,1505.0605,1505.8360833333334,2006.384,2008.6225833333333,7,1,7,7,15,932,13186
5,rate 1mbit,X25519,p521\_mldsa87,35.9,36.24754545454545,76.185,76.2899968553459,112.3575,112.5371540880503,4,1,4,4,325,776,13029
