level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,,MLKEM512,rsa:2048,0.797,0.8747060859057454,0.225,0.25675026777622145,1.059,1.1314590371041717,1,1,1,1,37.0k,1382,2141
1,,X25519,rsa:2048,0.884,0.9350932067202338,0.237,0.2771936124828332,1.143,1.2122921719311575,1,1,1,1,34.8k,620,1405
1,,bikel1,rsa:2048,1.432,1.4949270557029177,1.84,1.93413366737897,3.356,3.429071697000958,1,1,1,1,13.8k,2123,2946
1,,p256,rsa:2048,0.841,0.9184412293418381,0.255,0.28799141755342283,1.127,1.2064313839195104,1,1,1,1,35.1k,653,1438
1,,p256\_bikel1,rsa:2048,4.554,4.635023423423424,1.949,2.0364444043971885,6.52,6.671513425842494,1,1,1,1,5.6k,2188,3011
1,,p256\_mlkem512,rsa:2048,4.21,4.300740481400438,0.533,0.5831114677560548,4.777,4.883860519404727,1,1,1,1,7.0k,1447,2206
3,,MLKEM768,rsa:2048,0.809,0.8883452965091827,0.233,0.26601132794975324,1.075,1.154359578286227,1,1,1,1,36.3k,1766,2461
3,,bikel3,rsa:2048,2.08,2.165907676940639,4.816,4.927952618809761,6.897,7.093857713714857,2,1,2,2,7.1k,3717,4540
3,,p384,rsa:2048,2.037,2.1050315275005165,0.798,0.8718385653311304,2.907,2.976849648905411,1,1,1,1,14.8k,685,1470
3,,p384\_bikel3,rsa:2048,6.222,6.366722757375076,6.154,6.303393857271906,12.4,12.670198133092443,2,1,2,2,3.4k,3814,4637
3,,p384\_mlkem768,rsa:2048,6.03,6.238419135308247,1.118,1.2091923923923924,7.187,7.447335135135135,1,1,1,1,5.1k,1863,2558
5,,MLKEM1024,rsa:2048,0.824,0.903644432788414,0.243,0.27739952208882157,1.093,1.1810479951043245,1,1,1,1,34.9k,2150,2941
5,,p521,rsa:2048,3.668,3.7445806694245958,1.584,1.6882278084252758,5.329,5.432849674022067,1,1,1,1,8.1k,721,1506
5,,p521\_mlkem1024,rsa:2048,8.485,8.696592979635584,1.976,2.05297989815063,10.489,10.749675154114179,1,1,1,1,3.8k,2283,3074
