level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,rate 1mbit,MLKEM512,rsa:2048,19.627,19.877285467128026,2.06,2.1941074523396877,21.704,22.07209185441941,1,1,1,1,588,1382,2141
1,delay 500ms,MLKEM512,rsa:2048,501.744,502.4687368421053,501.342,502.0323333333333,1003.8115,1004.5735555555556,1,1,1,1,20,1382,2141
1,rate 1mbit,X25519,rsa:2048,12.33,12.649047548291232,2.0905,2.275860119047619,14.793,14.92565625,1,1,1,1,685,620,1405
1,delay 500ms,X25519,rsa:2048,501.5905,502.09944444444443,501.175,501.7479411764706,1003.265,1003.884,1,1,1,1,20,620,1405
1,delay 500ms,bikel1,rsa:2048,502.5455,504.628,502.707,506.22282352941176,1005.318,1010.9795882352942,1,1,1,1,20,2123,2946
1,rate 1mbit,bikel1,rsa:2048,26.346,26.563869649805447,3.889,3.8713820662768033,30.307,30.43735282651072,1,1,1,1,523,2123,2946
1,rate 1mbit,p256,rsa:2048,12.795,12.853080118694361,2.075,2.273962852897474,15.071,15.126496285289747,1,1,1,1,687,653,1438
1,delay 500ms,p256,rsa:2048,501.7,502.14270588235297,501.2275,502.79525,1003.651,1004.9756875,1,1,1,1,20,653,1438
1,rate 1mbit,p256\_bikel1,rsa:2048,30.875,31.0426142557652,3.907,3.95576,34.788,34.98109052631579,1,1,1,1,486,2188,3010
1,delay 500ms,p256\_bikel1,rsa:2048,505.701,505.9282631578947,502.698,502.93,1008.6995,1008.8771666666667,2,1,2,2,20,2240,3063
1,rate 1mbit,p256\_mlkem512,rsa:2048,23.275,23.455796363636363,2.031,2.2711693989071042,25.49,25.724861566484517,1,1,1,1,561,1447,2206
1,delay 500ms,p256\_mlkem512,rsa:2048,505.744,509.4865555555556,501.611,502.0387647058824,1008.201,1011.6822352941177,1,1,1,1,20,1447,2206
3,delay 500ms,MLKEM768,rsa:2048,501.714,502.4877368421053,501.204,501.862,1003.489,1004.4036666666666,1,1,1,1,20,1766,2461
3,rate 1mbit,MLKEM768,rsa:2048,21.63,22.045537205081672,2.0785,2.2597109090909093,24.116,24.3075,1,1,1,1,562,1766,2461
3,delay 500ms,bikel3,rsa:2048,502.739,503.8424736842105,505.634,506.77327777777776,1008.577,1010.6830555555556,3,2,3,3,20,3821,4644
3,rate 1mbit,bikel3,rsa:2048,37.756,38.170248792270534,6.794,6.824573849878934,44.698,44.9913583535109,2,1,2,2,421,3717,4540
3,rate 1mbit,p384,rsa:2048,14.447,14.799089201877935,2.773,2.679836990595611,17.239,17.479863636363635,1,1,1,1,651,685,1470
3,delay 500ms,p384,rsa:2048,503.003,503.6605,501.8335,502.8048125,1005.039,1006.4653125,1,1,1,1,20,685,1470
3,delay 500ms,p384\_bikel3,rsa:2048,507.58,508.69,506.6585,507.0293888888889,1014.2315,1015.7975555555556,3,2,3,3,20,3918,4741
3,rate 1mbit,p384\_bikel3,rsa:2048,42.0185,42.271062176165806,7.444,7.576587012987013,49.544,49.84535324675325,2,1,2,2,393,3814,4637
3,delay 500ms,p384\_mlkem768,rsa:2048,507.5425,508.0574444444444,502.556,503.64235294117645,1010.363,1011.7815294117647,1,1,1,1,20,1863,2558
3,rate 1mbit,p384\_mlkem768,rsa:2048,28.013,28.311400402414485,2.9555,3.054459677419355,30.988,31.367778225806454,1,1,1,1,506,1863,2558
5,rate 1mbit,MLKEM1024,rsa:2048,25.767,26.36771568627451,2.083,2.2623811394891944,28.047,28.62890373280943,1,1,1,1,520,2150,2941
5,delay 500ms,MLKEM1024,rsa:2048,501.831,501.99205263157893,500.837,501.3128333333333,1002.8335,1003.2706666666667,1,1,1,1,20,2150,2941
5,rate 1mbit,p521,rsa:2048,16.653,16.91241573033708,3.6785,3.651411575562701,20.5335,20.56352572347267,1,1,1,1,636,721,1506
5,delay 500ms,p521,rsa:2048,504.687,504.96215789473683,502.639,502.8193888888889,1007.5005,1007.8298333333333,1,1,1,1,20,721,1506
5,rate 1mbit,p521\_mlkem1024,rsa:2048,35.751,36.332894618834075,3.935,4.046161797752808,39.762,40.3802404494382,1,1,1,1,454,2283,3074
5,delay 500ms,p521\_mlkem1024,rsa:2048,510.405,510.80726315789474,502.9905,503.5205,1014.107,1014.4062777777777,2,1,2,2,20,2335,3126
