level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,,X25519,falcon512,3.912,3.98352853010781,0.637,0.7202629733520336,4.61,4.703793302945302,1,1,1,1,11.6k,620,2814
1,,X25519,rsa:1024,0.272,0.3233745588181785,0.205,0.24346538706449558,0.486,0.5668414445556262,1,1,1,1,55.9k,627,1016
1,,X25519,rsa:2048,0.918,0.945564005556705,0.234,0.2750401986285174,1.167,1.2206030385433908,1,1,1,1,34.4k,620,1405
1,,X25519,rsa:3072,2.327,2.397746936107631,0.283,0.3243330972872862,2.666,2.722077241529578,1,1,1,1,18.7k,620,1789
1,,X25519,rsa:4096,5.047,5.148642952606148,0.347,0.39759315237507714,5.434,5.546282438823772,1,1,1,1,9.9k,620,2173
1,,X25519,p256\_falcon512,3.955,4.017116440898126,0.887,0.9066378062360801,4.831,4.923706013363029,1,1,1,1,11.0k,620,3030
2,,X25519,MLDSA44,0.182,0.20725604513702311,0.946,1.0534783114905812,1.151,1.2607273785712154,2,1,2,2,34.0k,672,6821
2,,X25519,p256\_mldsa44,0.361,0.4115475018841158,1.6,1.6683531367767679,2.004,2.0799063622256706,2,1,2,2,22.9k,672,7027
2,,X25519,rsa3072\_mldsa44,0.37,0.42848734732976773,3.656,3.748345601149609,4.068,4.1768405716110495,2,1,2,2,12.7k,672,7987
3,,X25519,MLDSA65,0.203,0.2269597685092796,1.398,1.5928271333918735,1.635,1.8197899337431147,3,1,3,3,25.5k,724,9291
3,,X25519,p384\_mldsa65,0.359,0.4104895977808599,3.482,3.60017501541307,3.886,4.010671855733662,3,1,3,3,13.2k,724,9593
5,,X25519,MLDSA87,0.185,0.209431602279924,1.753,1.9525450144770178,1.95,2.161978782120883,4,1,4,4,22.5k,776,12619
5,,X25519,falcon1024,7.897,7.999297724399494,0.848,0.8684975501817607,8.747,8.867917654496603,2,1,2,2,6.4k,672,4991
5,,X25519,p521\_falcon1024,9.3845,9.496131065759636,3.399,3.453682467679746,12.817,12.949845089589477,2,1,2,2,4.5k,672,5414
5,,X25519,p521\_mldsa87,0.367,0.41906838344011826,6.182,6.343606359378851,6.601,6.762684249445403,4,1,4,4,8.2k,776,13030
