level,trafficEmulation,kem,sig,partAMedian,partAAvg,partBMedian,partBAvg,partAllMedian,partAllAvg,segments,packetsClient,packetsServer,handshakeServerPushes,connections,clientServerBytes,serverClientBytes
1,,X25519,falcon512,3.815,3.89638529588594,0.695,0.6930801408692665,4.501,4.589476464524996,1,1,1,1,11.8k,620,2812
1,,X25519,rsa:1024,0.266,0.30296033492658436,0.199,0.23137490758411994,0.526,0.5343364453843641,1,1,1,1,59.1k,627,1016
1,,X25519,rsa:2048,0.874,0.8989256016889515,0.228,0.26284252899448257,1.108,1.1617695923882445,1,1,1,1,36.1k,620,1405
1,,X25519,rsa:3072,2.271,2.322444964255677,0.279,0.31464973978867683,2.581,2.6370987225989593,1,1,1,1,19.3k,620,1789
1,,X25519,rsa:4096,4.897,4.989535195971962,0.341,0.382728403593642,5.282,5.372263599565604,1,1,1,1,10.3k,620,2173
1,,X25519,p256\_falcon512,3.836,3.8939191553277963,0.858,0.8644873652588796,4.694,4.758406520586676,1,1,1,1,11.5k,620,3033
2,,X25519,MLDSA44,0.179,0.19624572564612325,0.889,0.997613337498935,1.08,1.1938590133204579,2,1,2,2,35.8k,672,6821
2,,X25519,p256\_mldsa44,0.356,0.3904594594594595,1.509,1.572120691816017,1.897,1.9625789363746502,2,1,2,2,24.3k,620,7027
2,,X25519,rsa3072\_mldsa44,0.368,0.41095440518438514,3.523,3.622720524691358,3.925,4.033673070987654,2,1,2,2,13.2k,672,7987
3,,X25519,MLDSA65,0.2,0.21952739856984438,1.333,1.5321726959847037,1.555,1.751696137667304,3,1,3,3,26.6k,724,9291
3,,X25519,p384\_mldsa65,0.357,0.3936874815252734,3.368,3.480152095188826,3.76,3.8738343064075087,3,1,3,3,13.8k,620,9593
5,,X25519,MLDSA87,0.181,0.20278454565076623,1.648,1.8510302206104563,1.85,2.0538191080602686,4,1,4,4,23.6k,776,12619
5,,X25519,falcon1024,7.593,7.666894913700932,0.83,0.8346964558509014,8.42,8.501618698441796,2,1,2,2,6.7k,672,4991
5,,X25519,p521\_falcon1024,9.192,9.275268590455049,3.314,3.3384129662522204,12.522,12.613728241563056,2,1,2,2,4.6k,672,5408
5,,X25519,p521\_mldsa87,0.362,0.39835248318980776,5.926,6.093476639924493,6.328,6.491835299669655,4,1,4,4,8.6k,776,13029
